FEED_CAT_CODE;FEED_CAT_NAME;FEED_CL_CODE;FEED_CLASS.FEED_CL_NAME;FEED_CODE;FEED.FEED_NAME;FEED.FEED_DEF;FEED_CAT_NAME_ENGLISH;FEED_CLASS_WORLD.FEED_CL_NAME;FEED_WORLD.FEED_NAME;FEED_WORLD.FEED_DEF
1;C‚r‚ales;1010;Bl‚;13;Bl‚ tendre;"Grain de bl‚ tendre (Triticum aestivum L.). Le bl‚ tendre est une espŠce diff‚rente du bl‚ dur (Triticum durum L.), lequel n'est pas normalement utilis‚ en alimentation animale. En anglais, ""hard wheat"" d‚signe des vari‚t‚s de bl‚ tendre (souvent appell‚es ""hard"" en France), et non pas le bl‚ dur (en anglais ""durum wheat""),";Cereal grains;Wheat;Wheat, soft;Soft wheat grain (Triticum aestivum L.). This is the default wheat, since durum wheat is not normally used as animal feed.
1;C‚r‚ales;1010;Bl‚;203;Bl‚ tendre germ‚;Grain de bl‚ tendre (Triticum aestivum L.) ayant commenc‚ … germer.;Cereal grains;Wheat;Wheat, germinated;Wheat grain (Triticum aestivum L.), germinated.
1;C‚r‚ales;1010;Bl‚;204;Bl‚ dur germ‚;Grain de bl‚ dur (Triticum durum L.) ayant commenc‚ … germer.;Cereal grains;Wheat;Wheat, durum, germinated;Germinated durum wheat grain (Triticum durum L.). Durum wheat is used to make semolina and pasta.
1;C‚r‚ales;1010;Bl‚;458;Bl‚ tendre, poids sp‚cifique < 69 kg/hl;Grain de bl‚ tendre (Triticum aestivum L.) dont le poids sp‚cifique est inf‚rieur … 69 kg/hl. Ces bl‚s ont pu souffrir de mauvaises conditions climatiques.;Cereal grains;Wheat;Wheat, specific weight < 69 kg/hl;Wheat grain (Triticum aestivum L.), with a specific weight < 69 kg/hl. These wheats may have suffered from bad weather conditions.
1;C‚r‚ales;1010;Bl‚;1475;Bl‚ floconn‚;Grain de bl‚ (Triticum aestivum L.) ayant subi un floconnage.;Cereal grains;Wheat;Wheat, flaked;Wheat grain (Triticum aestivum L.), flaked.
1;C‚r‚ales;1010;Bl‚;1610;Bl‚, prot‚ines > 17%;Grain de bl‚ (Triticum aestivum L.) ayant une teneur forte en prot‚ines > 17% sur brut.;Cereal grains;Wheat;Wheat, protein > 17%;Wheat grain (Triticum aestivum L.), having a very high protein content > 17% as fed.
1;C‚r‚ales;1010;Bl‚;1612;Bl‚ dur;"Grain de bl‚ dur (Triticum durum L.). Le bl‚ dur, utilis‚ en alimentation humaine pour faire de la semoule et des pƒtes, n'est pas utilis‚ normalement en alimentation animale. A noter : le terme anglais pour bl‚ dur est ""durum wheat"" alors que ""hard wheat"" d‚signe certaines vari‚t‚s de bl‚ tendre (dites ""hard"" en fran‡ais).";Cereal grains;Wheat;Wheat, durum;Durum wheat grain (Triticum durum L.). Durum wheat is used to make semolina and pasta.
1;C‚r‚ales;1010;Bl‚;1631;Bl‚ extrud‚;Grain de bl‚ (Triticum aestivum L.) ayant subi une extrusion.;Cereal grains;Wheat;Wheat, extruded;Wheat grain (Triticum aestivum L.), extruded.
1;C‚r‚ales;1010;Bl‚;1632;Bl‚ aplati;Grain de bl‚ (Triticum aestivum L.) ayant subi un aplatissage.;Cereal grains;Wheat;Wheat, rolled;Wheat grain (Triticum aestivum L.), rolled.
1;C‚r‚ales;1010;Bl‚;2106;Bl‚ infranis‚;Grain de bl‚ (Triticum aestivum L.) trait‚ aux infrarouges. L'infranisation est un traitement thermique dans lequel le produit, r‚parti sur un tapis convoyeur, est soumis pendant 40 … 90 secondes … l'action de rayons infra-rouges ‚mis par une s‚rie de br–leurs en c‚ramique. Terme anglais : micronizing (… ne pas traduire par micronisation, proc‚d‚ de broyage ultra-fin).;Cereal grains;Wheat;Wheat, infra-red heated;Wheat grain (Triticum aestivum L.), micronized by infra-red heating during 40-90 s.
1;C‚r‚ales;1010;Bl‚;2133;Bl‚ toast‚;Grain de bl‚ (Triticum aestivum L.) ayant subi un toastage.;Cereal grains;Wheat;Wheat, toasted;Wheat grain (Triticum aestivum L.), toasted.
1;C‚r‚ales;1010;Bl‚;2180;Bl‚ pellets;Grain de bl‚ (Triticum aestivum L.) ayant subi une granulation.;Cereal grains;Wheat;Wheat, pellets;Wheat grain (Triticum aestivum L.), pelleted.
1;C‚r‚ales;1010;Bl‚;2181;Bl‚ broy‚;Grain de bl‚ (Triticum aestivum L.) ayant subi un broyage.;Cereal grains;Wheat;Wheat, ground;Wheat grain (Triticum aestivum L.), ground.
1;C‚r‚ales;1010;Bl‚;2320;Petit bl‚;Grains de bl‚ (Triticum spp.) constitu‚s des ‚carts de nettoyage, d'adventices et grains sous-dimensionn‚s. Synonyme : criblures de bl‚;Cereal grains;Wheat;Wheat screenings;Wheat grains (Triticum spp.) rejected after a screening process, consisting of small or damaged grains, or foreign material.
1;C‚r‚ales;1010;Bl‚;2422;Bl‚ humide, matiŠre sŠche < 80 %;Grain de bl‚ (Triticum aestivum L.) humide.;Cereal grains;Wheat;Wheat, moist, dry matter < 80 %;Wheat grain (Triticum aestivum L.), containing less than 80% dry matter.
1;C‚r‚ales;1010;Bl‚;2476;Bl‚ tann‚;Grain de bl‚ (Triticum aestivum L.) ayant subi un tannage par une m‚thode non sp‚cifi‚e en vue de prot‚ger les prot‚ines dans le rumen.;Cereal grains;Wheat;Wheat, tanned;Wheat grain (Triticum aestivum L.), tanned by an unspecified method in order to protect the proteins in the rumen.
1;C‚r‚ales;1010;Bl‚;2554;Bl‚ expans‚;Grain de bl‚ (Triticum aestivum L.) ayant subi une expansion.;Cereal grains;Wheat;Wheat, expanded;Wheat grain (Triticum aestivum L.), expanded.
